team_home,team_away,goals_home,goals_away,result,date,source
Sweden,Finland,4.0,0.0,1.0,1961-08-09,international_results
Japan,Vietnam Republic,2.0,3.0,2.0,1961-08-10,international_results
Singapore,Thailand,5.0,3.0,1.0,1961-08-12,international_results
Malaysia,Indonesia,1.0,2.0,2.0,1961-08-13,international_results
Singapore,Vietnam Republic,1.0,2.0,2.0,1961-08-13,international_results
Indonesia,Japan,2.0,0.0,1.0,1961-08-15,international_results
Thailand,Vietnam Republic,1.0,2.0,2.0,1961-08-16,international_results
India,Vietnam Republic,1.0,3.0,2.0,1961-08-17,international_results
Norway,Russia,0.0,3.0,2.0,1961-08-23,international_results
New Caledonia,Tahiti,2.0,2.0,0.0,1961-09-05,international_results
New Caledonia,Tahiti,3.0,0.0,1.0,1961-09-08,international_results
German DR,Hungary,2.0,3.0,2.0,1961-09-10,international_results
Russia,Austria,0.0,1.0,2.0,1961-09-10,international_results
Norway,Denmark,0.0,4.0,2.0,1961-09-17,international_results
Germany,Denmark,5.0,1.0,1.0,1961-09-20,international_results
New Caledonia,Tahiti,2.0,1.0,1.0,1961-09-22,international_results
Uganda,Kenya,0.0,1.0,2.0,1961-09-23,international_results
England,Luxembourg,4.0,1.0,1.0,1961-09-28,international_results
France,Finland,5.0,1.0,1.0,1961-09-28,international_results
Scotland,Czechoslovakia,3.0,2.0,1.0,1961-09-29,international_results
Uganda,Zanzibar,2.0,1.0,1.0,1961-09-30,international_results
Kenya,Tanzania,0.0,0.0,0.0,1961-10-01,international_results
Tanzania,Uganda,3.0,1.0,1.0,1961-10-03,international_results
Belgium,Sweden,0.0,2.0,2.0,1961-10-04,international_results
Kenya,Zanzibar,10.0,0.0,1.0,1961-10-04,international_results
Tanzania,Zanzibar,3.0,0.0,1.0,1961-10-06,international_results
Kenya,Uganda,2.0,1.0,1.0,1961-10-07,international_results
Northern Ireland,Scotland,1.0,6.0,2.0,1961-10-07,international_results
Austria,Hungary,2.0,1.0,1.0,1961-10-08,international_results
Republic of Ireland,Czechoslovakia,1.0,3.0,2.0,1961-10-08,international_results
Luxembourg,Portugal,4.0,2.0,1.0,1961-10-08,international_results
Poland,Germany,0.0,2.0,2.0,1961-10-08,international_results
Romania,Turkey,4.0,0.0,1.0,1961-10-08,international_results
Yugoslavia,South Korea,5.0,1.0,1.0,1961-10-08,international_results
Argentina,Paraguay,5.0,1.0,1.0,1961-10-12,international_results
Chile,Uruguay,2.0,3.0,2.0,1961-10-12,international_results
Wales,England,1.0,1.0,0.0,1961-10-14,international_results
Denmark,Finland,9.0,1.0,1.0,1961-10-15,international_results
Israel,Italy,2.0,4.0,2.0,1961-10-15,international_results
Northern Ireland,Greece,2.0,0.0,1.0,1961-10-17,international_results
Belgium,France,3.0,0.0,1.0,1961-10-18,international_results
Turkey,South Korea,1.0,0.0,1.0,1961-10-18,international_results
Vietnam Republic,Indonesia,4.0,1.0,1.0,1961-10-21,international_results
Germany,Greece,2.0,1.0,1.0,1961-10-22,international_results
Hungary,Netherlands,3.0,3.0,0.0,1961-10-22,international_results
Israel,South Korea,1.0,1.0,0.0,1961-10-22,international_results
Poland,German DR,3.0,1.0,1.0,1961-10-22,international_results
Sweden,Norway,2.0,0.0,1.0,1961-10-22,international_results
Indonesia,Malaysia,1.0,3.0,2.0,1961-10-23,international_results
England,Portugal,2.0,0.0,1.0,1961-10-25,international_results
Vietnam Republic,Malaysia,1.0,0.0,1.0,1961-10-26,international_results
Myanmar,South Korea,3.0,0.0,1.0,1961-10-28,international_results
Bulgaria,Finland,3.0,1.0,1.0,1961-10-29,international_results
Czechoslovakia,Republic of Ireland,7.0,1.0,1.0,1961-10-29,international_results
Mexico,Paraguay,1.0,0.0,1.0,1961-10-29,international_results
Switzerland,Sweden,3.0,2.0,1.0,1961-10-29,international_results
Turkey,Norway,2.0,1.0,1.0,1961-10-29,international_results
Uganda,Kenya,2.0,0.0,1.0,1961-10-29,international_results
Italy,Israel,6.0,0.0,1.0,1961-11-04,international_results
Malta,Norway,1.0,1.0,0.0,1961-11-05,international_results
Paraguay,Mexico,0.0,0.0,0.0,1961-11-05,international_results
Poland,Denmark,5.0,0.0,1.0,1961-11-05,international_results
Scotland,Wales,2.0,0.0,1.0,1961-11-08,international_results
Bulgaria,France,1.0,0.0,1.0,1961-11-12,international_results
Morocco,Spain,0.0,1.0,2.0,1961-11-12,international_results
Netherlands,Belgium,0.0,4.0,2.0,1961-11-12,international_results
Switzerland,Sweden,2.0,1.0,1.0,1961-11-12,international_results
Turkey,Russia,1.0,2.0,2.0,1961-11-12,international_results
Argentina,Russia,1.0,2.0,2.0,1961-11-18,international_results
Yugoslavia,Austria,2.0,1.0,1.0,1961-11-19,international_results
Chile,Russia,0.0,1.0,2.0,1961-11-22,international_results
England,Northern Ireland,1.0,1.0,0.0,1961-11-22,international_results
Spain,Morocco,3.0,2.0,1.0,1961-11-23,international_results
Nigeria,Tunisia,2.0,1.0,1.0,1961-11-25,international_results
South Korea,Yugoslavia,1.0,3.0,2.0,1961-11-26,international_results
Czechoslovakia,Scotland,4.0,2.0,1.0,1961-11-29,international_results
Uruguay,Russia,1.0,2.0,2.0,1961-11-29,international_results
Hong Kong,Yugoslavia,1.0,2.0,2.0,1961-12-02,international_results
Kenya,Zanzibar,4.0,0.0,1.0,1961-12-03,international_results
Panama,Venezuela,2.0,6.0,2.0,1961-12-04,international_results
Senegal,Gambia,2.0,3.0,2.0,1961-12-05,international_results
Uganda,Zanzibar,2.0,0.0,1.0,1961-12-05,international_results
Indonesia,Yugoslavia,1.0,5.0,2.0,1961-12-07,international_results
Kenya,Uganda,4.0,1.0,1.0,1961-12-07,international_results
Chile,Hungary,5.0,1.0,1.0,1961-12-09,international_results
Tanzania,Kenya,1.0,3.0,2.0,1961-12-09,international_results
France,Spain,1.0,1.0,0.0,1961-12-10,international_results
Morocco,German DR,2.0,0.0,1.0,1961-12-10,international_results
Myanmar,Cambodia,4.0,0.0,1.0,1961-12-11,international_results
Thailand,Vietnam Republic,0.0,0.0,0.0,1961-12-11,international_results
Panama,Venezuela,0.0,3.0,2.0,1961-12-12,international_results
Malaysia,Cambodia,4.0,0.0,1.0,1961-12-12,international_results
Vietnam Republic,Laos,7.0,0.0,1.0,1961-12-12,international_results
Chile,Hungary,0.0,0.0,0.0,1961-12-13,international_results
Myanmar,Malaysia,1.0,2.0,2.0,1961-12-13,international_results
Thailand,Laos,5.0,2.0,1.0,1961-12-13,international_results
Israel,Yugoslavia,0.0,2.0,2.0,1961-12-14,international_results
Malaysia,Thailand,2.0,2.0,0.0,1961-12-14,international_results
Myanmar,Vietnam Republic,2.0,1.0,1.0,1961-12-14,international_results
Bulgaria,France,1.0,0.0,1.0,1961-12-16,international_results
Thailand,Vietnam Republic,1.0,1.0,0.0,1961-12-16,international_results
Myanmar,Malaysia,0.0,2.0,2.0,1961-12-16,international_results
Ghana,Nigeria,5.0,1.0,1.0,1961-12-17,international_results
Uruguay,Hungary,1.0,1.0,0.0,1961-12-23,international_results
Belgium,Bulgaria,4.0,0.0,1.0,1961-12-24,international_results
Madagascar,Mauritania,5.0,1.0,1.0,1961-12-25,international_results
Central African Republic,Liberia,1.0,1.0,0.0,1961-12-25,international_results
Ivory Coast,Burkina Faso,2.0,1.0,1.0,1961-12-25,international_results
Senegal,Gabon,3.0,2.0,1.0,1961-12-25,international_results
Chad,Niger,2.0,2.0,0.0,1961-12-25,international_results
Benin,Mauritania,7.0,0.0,1.0,1961-12-26,international_results
Ivory Coast,Liberia,5.0,0.0,1.0,1961-12-26,international_results
Cameroon,Gabon,6.0,0.0,1.0,1961-12-26,international_results
Benin,Madagascar,3.0,1.0,1.0,1961-12-27,international_results
Burkina Faso,Liberia,5.0,1.0,1.0,1961-12-27,international_results
Ivory Coast,Central African Republic,1.0,0.0,1.0,1961-12-27,international_results
Senegal,Cameroon,4.0,0.0,1.0,1961-12-27,international_results
Ivory Coast,Senegal,1.0,1.0,0.0,1961-12-29,international_results
Ethiopia,Kenya,4.0,3.0,1.0,1961-12-31,international_results
Benin,Senegal,4.0,3.0,1.0,1961-12-31,international_results
Egypt,Austria,1.0,0.0,1.0,1962-01-05,international_results
Ethiopia,Kenya,6.0,1.0,1.0,1962-01-07,international_results
Ethiopia,Tunisia,4.0,2.0,1.0,1962-01-14,international_results
Egypt,Uganda,2.0,1.0,1.0,1962-01-18,international_results
Tunisia,Uganda,3.0,0.0,1.0,1962-01-20,international_results
Ethiopia,Egypt,4.0,2.0,1.0,1962-01-21,international_results
Mali,Ivory Coast,4.0,0.0,1.0,1962-02-04,international_results
Mali,Ivory Coast,0.0,2.0,2.0,1962-02-06,international_results
Mali,Ghana,0.0,1.0,2.0,1962-02-17,international_results
Indonesia,Vietnam Republic,1.0,2.0,2.0,1962-02-19,international_results
Libya,Tunisia,6.0,3.0,1.0,1962-03-11,international_results
Uruguay,Argentina,1.0,1.0,0.0,1962-03-13,international_results
Ghana,Mali,0.0,0.0,0.0,1962-03-17,international_results
Curaçao,Suriname,1.0,0.0,1.0,1962-03-27,international_results
Argentina,Mexico,1.0,0.0,1.0,1962-03-28,international_results
Guernsey,Alderney,6.0,1.0,1.0,1962-03-29,international_results
Belgium,Netherlands,3.0,1.0,1.0,1962-04-01,international_results
Colombia,Mexico,0.0,1.0,2.0,1962-04-01,international_results
Colombia,Mexico,2.0,2.0,0.0,1962-04-04,international_results
England,Austria,3.0,1.0,1.0,1962-04-04,international_results
Sweden,Czechoslovakia,3.0,1.0,1.0,1962-04-07,international_results
Republic of Ireland,Austria,2.0,3.0,2.0,1962-04-08,international_results
France,Poland,1.0,3.0,2.0,1962-04-11,international_results
Germany,Uruguay,3.0,0.0,1.0,1962-04-11,international_results
Luxembourg,Russia,1.0,3.0,2.0,1962-04-11,international_results
Wales,Northern Ireland,4.0,0.0,1.0,1962-04-11,international_results
Scotland,England,2.0,0.0,1.0,1962-04-14,international_results
Morocco,Poland,1.0,3.0,2.0,1962-04-15,international_results
Hungary,Uruguay,1.0,1.0,0.0,1962-04-18,international_results
Sweden,Russia,0.0,2.0,2.0,1962-04-18,international_results
Guadeloupe,Martinique,1.0,0.0,1.0,1962-04-19,international_results
Brazil,Paraguay,6.0,0.0,1.0,1962-04-21,international_results
Czechoslovakia,Uruguay,3.0,1.0,1.0,1962-04-22,international_results
Brazil,Paraguay,4.0,0.0,1.0,1962-04-24,international_results
Mexico,Colombia,1.0,0.0,1.0,1962-04-25,international_results
Russia,Uruguay,5.0,0.0,1.0,1962-04-27,international_results
Hungary,Turkey,2.0,1.0,1.0,1962-04-29,international_results
Scotland,Uruguay,2.0,3.0,2.0,1962-05-02,international_results
Russia,German DR,2.0,1.0,1.0,1962-05-03,international_results
Jersey,Guernsey,2.0,1.0,1.0,1962-05-03,international_results
Italy,France,2.0,1.0,1.0,1962-05-05,international_results
Austria,Bulgaria,2.0,0.0,1.0,1962-05-06,international_results
Brazil,Portugal,2.0,1.0,1.0,1962-05-06,international_results
Brazil,Portugal,1.0,0.0,1.0,1962-05-09,international_results
England,Switzerland,3.0,1.0,1.0,1962-05-09,international_results
Netherlands,Northern Ireland,4.0,0.0,1.0,1962-05-09,international_results
Togo,Guinea,2.0,1.0,1.0,1962-05-09,international_results
Brazil,Wales,3.0,1.0,1.0,1962-05-12,international_results
Belgium,Italy,1.0,3.0,2.0,1962-05-13,international_results
Brazil,Wales,3.0,1.0,1.0,1962-05-16,international_results
Norway,Netherlands,2.0,1.0,1.0,1962-05-16,international_results
Turkey,Israel,1.0,0.0,1.0,1962-05-16,international_results
Yugoslavia,German DR,3.0,1.0,1.0,1962-05-16,international_results
Portugal,Belgium,1.0,2.0,2.0,1962-05-17,international_results
Jamaica,Haiti,3.0,4.0,2.0,1962-05-19,international_results
Peru,England,0.0,4.0,2.0,1962-05-20,international_results
Jamaica,Haiti,1.0,3.0,2.0,1962-05-21,international_results
Mexico,Wales,2.0,1.0,1.0,1962-05-22,international_results
German DR,Denmark,4.0,1.0,1.0,1962-05-23,international_results
Jamaica,Haiti,2.0,5.0,2.0,1962-05-23,international_results
Poland,Belgium,2.0,0.0,1.0,1962-05-23,international_results
Argentina,Bulgaria,1.0,0.0,1.0,1962-05-30,international_results
Brazil,Mexico,2.0,0.0,1.0,1962-05-30,international_results
Chile,Switzerland,3.0,1.0,1.0,1962-05-30,international_results
Colombia,Uruguay,1.0,2.0,2.0,1962-05-30,international_results
Czechoslovakia,Spain,1.0,0.0,1.0,1962-05-31,international_results
England,Hungary,1.0,2.0,2.0,1962-05-31,international_results
Germany,Italy,0.0,0.0,0.0,1962-05-31,international_results
Russia,Yugoslavia,2.0,0.0,1.0,1962-05-31,international_results
Argentina,England,1.0,3.0,2.0,1962-06-02,international_results
Brazil,Czechoslovakia,0.0,0.0,0.0,1962-06-02,international_results
Chile,Italy,2.0,0.0,1.0,1962-06-02,international_results
New Zealand,New Caledonia,4.0,1.0,1.0,1962-06-02,international_results
Uruguay,Yugoslavia,1.0,3.0,2.0,1962-06-02,international_results
Bulgaria,Hungary,1.0,6.0,2.0,1962-06-03,international_results
Colombia,Russia,4.0,4.0,0.0,1962-06-03,international_results
Germany,Switzerland,2.0,1.0,1.0,1962-06-03,international_results
Mexico,Spain,0.0,1.0,2.0,1962-06-03,international_results
Tunisia,Libya,2.0,2.0,0.0,1962-06-03,international_results
New Zealand,New Caledonia,4.0,2.0,1.0,1962-06-04,international_results
Argentina,Hungary,0.0,0.0,0.0,1962-06-06,international_results
Brazil,Spain,2.0,1.0,1.0,1962-06-06,international_results
Chile,Germany,0.0,2.0,2.0,1962-06-06,international_results
Russia,Uruguay,2.0,1.0,1.0,1962-06-06,international_results
Bulgaria,England,0.0,0.0,0.0,1962-06-07,international_results
Colombia,Yugoslavia,0.0,5.0,2.0,1962-06-07,international_results
Czechoslovakia,Mexico,1.0,3.0,2.0,1962-06-07,international_results
Italy,Switzerland,3.0,0.0,1.0,1962-06-07,international_results
Singapore,Hong Kong,2.0,6.0,2.0,1962-06-09,international_results
Brazil,England,3.0,1.0,1.0,1962-06-10,international_results
Chile,Russia,2.0,1.0,1.0,1962-06-10,international_results
Czechoslovakia,Hungary,1.0,0.0,1.0,1962-06-10,international_results
Germany,Yugoslavia,0.0,1.0,2.0,1962-06-10,international_results
Denmark,Norway,6.0,1.0,1.0,1962-06-11,international_results
Chile,Brazil,2.0,4.0,2.0,1962-06-13,international_results
Czechoslovakia,Yugoslavia,3.0,1.0,1.0,1962-06-13,international_results
Chile,Yugoslavia,1.0,0.0,1.0,1962-06-16,international_results
Brazil,Czechoslovakia,3.0,1.0,1.0,1962-06-17,international_results
Finland,Sweden,0.0,3.0,2.0,1962-06-19,international_results
Norway,Sweden,0.0,2.0,2.0,1962-06-21,international_results
Austria,Hungary,1.0,2.0,2.0,1962-06-24,international_results
Denmark,Malta,6.0,1.0,1.0,1962-06-28,international_results
Norway,Malta,5.0,0.0,1.0,1962-07-03,international_results
Kenya,Zanzibar,5.0,0.0,1.0,1962-07-06,international_results
Jamaica,Curaçao,4.0,4.0,0.0,1962-07-07,international_results
Iceland,Norway,1.0,3.0,2.0,1962-07-09,international_results
Jamaica,Curaçao,2.0,1.0,1.0,1962-07-09,international_results
Jamaica,Curaçao,1.0,2.0,2.0,1962-07-11,international_results
Singapore,Indonesia,1.0,2.0,2.0,1962-07-12,international_results
Gabon,Congo,3.0,1.0,1.0,1962-07-14,international_results
Vietnam Republic,Taiwan,1.0,1.0,0.0,1962-07-14,international_results
Thailand,Taiwan,4.0,0.0,1.0,1962-07-25,international_results
Singapore,Taiwan,2.0,2.0,0.0,1962-07-27,international_results
Kenya,Tanzania,4.0,3.0,1.0,1962-07-28,international_results
Bolivia,Paraguay,3.0,1.0,1.0,1962-08-10,international_results
Bolivia,Paraguay,3.0,2.0,1.0,1962-08-12,international_results
Republic of Ireland,Iceland,4.0,2.0,1.0,1962-08-12,international_results
Argentina,Uruguay,3.0,1.0,1.0,1962-08-15,international_results
Gabon,Cameroon,1.0,1.0,0.0,1962-08-20,international_results
Indonesia,Vietnam Republic,1.0,0.0,1.0,1962-08-25,international_results
Japan,Thailand,3.0,1.0,1.0,1962-08-25,international_results
Norway,Finland,2.0,1.0,1.0,1962-08-26,international_results
Malaysia,Philippines,15.0,1.0,1.0,1962-08-26,international_results
India,South Korea,0.0,2.0,2.0,1962-08-26,international_results
Indonesia,Philippines,6.0,0.0,1.0,1962-08-27,international_results
South Korea,Thailand,3.0,2.0,1.0,1962-08-27,international_results
Indonesia,Malaysia,2.0,3.0,2.0,1962-08-28,international_results
Thailand,India,1.0,4.0,2.0,1962-08-28,international_results
Vietnam Republic,Malaysia,3.0,0.0,1.0,1962-08-29,international_results
India,Japan,2.0,0.0,1.0,1962-08-29,international_results
Vietnam Republic,Philippines,6.0,0.0,1.0,1962-08-30,international_results
South Korea,Japan,1.0,0.0,1.0,1962-08-30,international_results
Suriname,Guadeloupe,3.0,1.0,1.0,1962-08-31,international_results
Uganda,Kenya,3.0,1.0,1.0,1962-09-01,international_results
Vietnam Republic,India,2.0,3.0,2.0,1962-09-01,international_results
South Korea,Malaysia,2.0,1.0,1.0,1962-09-01,international_results
Iceland,Republic of Ireland,1.0,1.0,0.0,1962-09-02,international_results
Poland,Hungary,0.0,2.0,2.0,1962-09-02,international_results
Vietnam Republic,Malaysia,1.0,4.0,2.0,1962-09-03,international_results
India,South Korea,2.0,1.0,1.0,1962-09-04,international_results
Netherlands,Curaçao,8.0,0.0,1.0,1962-09-05,international_results
Malaysia,Japan,2.0,2.0,0.0,1962-09-08,international_results
Myanmar,Pakistan,0.0,1.0,2.0,1962-09-09,international_results
Denmark,Curaçao,3.0,1.0,1.0,1962-09-11,international_results
Indonesia,Singapore,2.0,0.0,1.0,1962-09-11,international_results
Indonesia,Philippines,9.0,0.0,1.0,1962-09-12,international_results
Japan,Pakistan,1.0,1.0,0.0,1962-09-12,international_results
Malaysia,Myanmar,3.0,2.0,1.0,1962-09-13,international_results
Philippines,Singapore,0.0,5.0,2.0,1962-09-13,international_results
Indonesia,Vietnam Republic,2.0,1.0,1.0,1962-09-14,international_results
Myanmar,Japan,3.0,1.0,1.0,1962-09-15,international_results
Austria,Czechoslovakia,0.0,6.0,2.0,1962-09-16,international_results
Congo,Gabon,3.0,1.0,1.0,1962-09-16,international_results
Finland,Denmark,1.0,6.0,2.0,1962-09-16,international_results
German DR,Yugoslavia,2.0,2.0,0.0,1962-09-16,international_results
Malaysia,Pakistan,0.0,0.0,0.0,1962-09-16,international_results
Norway,Sweden,2.0,1.0,1.0,1962-09-16,international_results
Philippines,Vietnam Republic,0.0,6.0,2.0,1962-09-16,international_results
Trinidad and Tobago,Suriname,1.0,1.0,0.0,1962-09-16,international_results
Singapore,Vietnam Republic,2.0,2.0,0.0,1962-09-17,international_results
Trinidad and Tobago,Suriname,1.0,0.0,1.0,1962-09-18,international_results
Indonesia,Pakistan,2.0,1.0,1.0,1962-09-19,international_results
Yugoslavia,Ethiopia,5.0,2.0,1.0,1962-09-19,international_results
Trinidad and Tobago,Suriname,1.0,1.0,0.0,1962-09-20,international_results
Singapore,Japan,2.0,1.0,1.0,1962-09-21,international_results
Trinidad and Tobago,Suriname,1.0,1.0,0.0,1962-09-22,international_results
Denmark,Netherlands,4.0,1.0,1.0,1962-09-26,international_results
Ghana,Kenya,6.0,3.0,1.0,1962-09-29,international_results
Bulgaria,Poland,2.0,1.0,1.0,1962-09-30,international_results
Romania,Morocco,4.0,0.0,1.0,1962-09-30,international_results
Yugoslavia,Germany,2.0,3.0,2.0,1962-09-30,international_results
England,France,1.0,1.0,0.0,1962-10-03,international_results
Poland,Northern Ireland,0.0,2.0,2.0,1962-10-10,international_results
Turkey,Ethiopia,3.0,0.0,1.0,1962-10-10,international_results
Uganda,Ghana,1.0,4.0,2.0,1962-10-10,international_results
Poland,Morocco,1.0,1.0,0.0,1962-10-11,international_results
Kenya,Ghana,0.0,4.0,2.0,1962-10-12,international_results
South Korea,Indonesia,2.0,0.0,1.0,1962-10-12,international_results
Suriname,Guadeloupe,3.0,3.0,0.0,1962-10-13,international_results
Belgium,Netherlands,2.0,0.0,1.0,1962-10-14,international_results
German DR,Romania,3.0,2.0,1.0,1962-10-14,international_results
Hungary,Yugoslavia,0.0,1.0,2.0,1962-10-14,international_results
South Korea,Indonesia,2.0,0.0,1.0,1962-10-14,international_results
Malawi,Ghana,0.0,12.0,2.0,1962-10-15,international_results
Suriname,French Guiana,4.0,2.0,1.0,1962-10-15,international_results
Israel,Austria,1.0,1.0,0.0,1962-10-17,international_results
Greece,Ethiopia,3.0,2.0,1.0,1962-10-18,international_results
Tanzania,Ghana,2.0,6.0,2.0,1962-10-18,international_results
Northern Ireland,England,1.0,3.0,2.0,1962-10-20,international_results
Wales,Scotland,2.0,3.0,2.0,1962-10-20,international_results
Germany,France,2.0,2.0,0.0,1962-10-24,international_results
Vietnam Republic,Indonesia,4.0,0.0,1.0,1962-10-25,international_results
Malaysia,Thailand,4.0,2.0,1.0,1962-10-27,international_results
Czechoslovakia,Poland,2.0,1.0,1.0,1962-10-28,international_results
Hungary,Austria,2.0,0.0,1.0,1962-10-28,international_results
Indonesia,Malaysia,2.0,1.0,1.0,1962-10-28,international_results
Sweden,Denmark,4.0,2.0,1.0,1962-10-28,international_results
Vietnam Republic,Thailand,0.0,1.0,2.0,1962-10-28,international_results
Indonesia,Thailand,7.0,0.0,1.0,1962-10-30,international_results
Vietnam Republic,Malaysia,2.0,0.0,1.0,1962-10-30,international_results
Vietnam Republic,Indonesia,2.0,0.0,1.0,1962-10-31,international_results
Spain,Romania,6.0,0.0,1.0,1962-11-01,international_results
Sweden,Norway,1.0,1.0,0.0,1962-11-04,international_results
Tanzania,Uganda,3.0,1.0,1.0,1962-11-04,international_results
Yugoslavia,Belgium,3.0,2.0,1.0,1962-11-04,international_results
Kenya,Uganda,4.0,1.0,1.0,1962-11-05,international_results
Bulgaria,Portugal,3.0,1.0,1.0,1962-11-07,international_results
Chile,Argentina,1.0,1.0,0.0,1962-11-07,international_results
Hungary,Wales,3.0,1.0,1.0,1962-11-07,international_results
Scotland,Northern Ireland,5.0,1.0,1.0,1962-11-07,international_results
Nigeria,Ghana,0.0,0.0,0.0,1962-11-10,international_results
Austria,Italy,1.0,2.0,2.0,1962-11-11,international_results
France,Hungary,2.0,3.0,2.0,1962-11-11,international_results
Guadeloupe,Martinique,3.0,1.0,1.0,1962-11-11,international_results
Netherlands,Switzerland,3.0,1.0,1.0,1962-11-11,international_results
Thailand,Sweden,1.0,2.0,2.0,1962-11-16,international_results
Puerto Rico,Martinique,1.0,6.0,2.0,1962-11-20,international_results
Argentina,Chile,1.0,0.0,1.0,1962-11-21,international_results
England,Wales,4.0,0.0,1.0,1962-11-21,international_results
German DR,Czechoslovakia,2.0,1.0,1.0,1962-11-21,international_results
Malaysia,Sweden,0.0,1.0,2.0,1962-11-22,international_results
Grenada,Saint Vincent and the Grenadines,2.0,1.0,1.0,1962-11-24,international_results
Puerto Rico,Guadeloupe,0.0,3.0,2.0,1962-11-24,international_results
Bulgaria,Austria,1.0,1.0,0.0,1962-11-25,international_results
Israel,Turkey,0.0,2.0,2.0,1962-11-25,international_results
Romania,Spain,3.0,1.0,1.0,1962-11-25,international_results
Indonesia,Sweden,0.0,3.0,2.0,1962-11-27,international_results
Northern Ireland,Poland,2.0,0.0,1.0,1962-11-28,international_results
Senegal,Ivory Coast,1.0,1.0,0.0,1962-11-30,international_results
Belgium,Spain,1.0,1.0,0.0,1962-12-02,international_results
Italy,Turkey,6.0,0.0,1.0,1962-12-02,international_results
Malta,Denmark,1.0,3.0,2.0,1962-12-08,international_results
Nigeria,Cameroon,3.0,1.0,1.0,1962-12-08,international_results
Tanzania,Malawi,6.0,2.0,1.0,1962-12-08,international_results
Mali,German DR,1.0,2.0,2.0,1962-12-09,international_results
Turkey,Denmark,1.0,1.0,0.0,1962-12-12,international_results
Tanzania,Zanzibar,6.0,0.0,1.0,1962-12-15,international_results
Ethiopia,Turkey,0.0,0.0,0.0,1962-12-16,international_results
Guinea,German DR,2.0,3.0,2.0,1962-12-16,international_results
Portugal,Bulgaria,3.0,1.0,1.0,1962-12-16,international_results
Germany,Switzerland,5.0,1.0,1.0,1962-12-23,international_results
Morocco,Romania,3.0,1.0,1.0,1962-12-23,international_results
Central African Republic,Cameroon,1.0,4.0,2.0,1962-12-24,international_results
Congo,Madagascar,6.0,1.0,1.0,1962-12-24,international_results
Cameroon,Congo,0.0,3.0,2.0,1962-12-27,international_results
Central African Republic,Madagascar,4.0,1.0,1.0,1962-12-31,international_results
Cameroon,Nigeria,1.0,2.0,2.0,1963-01-01,international_results
Algeria,Bulgaria,2.0,1.0,1.0,1963-01-06,international_results
Kuwait,Jordan,2.0,1.0,1.0,1963-01-06,international_results
Spain,France,0.0,0.0,0.0,1963-01-09,international_results
Morocco,Switzerland,1.0,0.0,1.0,1963-01-13,international_results
Myanmar,China,0.0,3.0,2.0,1963-01-14,international_results
Uganda,Zanzibar,8.0,0.0,1.0,1963-01-19,international_results
Myanmar,China,2.0,1.0,1.0,1963-01-20,international_results
Bulgaria,Portugal,1.0,0.0,1.0,1963-01-23,international_results
Pakistan,China,0.0,0.0,0.0,1963-01-26,international_results
Benin,Nigeria,1.0,1.0,0.0,1963-01-27,international_results
Pakistan,China,3.0,2.0,1.0,1963-01-30,international_results
Mali,Burkina Faso,1.0,0.0,1.0,1963-02-01,international_results
Nigeria,Benin,4.0,1.0,1.0,1963-02-02,international_results
Pakistan,China,1.0,1.0,0.0,1963-02-03,international_results
Pakistan,China,0.0,2.0,2.0,1963-02-06,international_results
Paraguay,Bolivia,3.0,0.0,1.0,1963-02-17,international_results
Paraguay,Bolivia,5.0,1.0,1.0,1963-02-19,international_results
Jamaica,Haiti,3.0,2.0,1.0,1963-02-23,international_results
Mali,Senegal,3.0,1.0,1.0,1963-02-24,international_results
France,England,5.0,2.0,1.0,1963-02-27,international_results
Jamaica,Curaçao,1.0,2.0,2.0,1963-02-27,international_results
Nigeria,Senegal,4.0,0.0,1.0,1963-02-27,international_results
Guatemala,Honduras,1.0,2.0,2.0,1963-03-02,international_results
Haiti,Curaçao,0.0,1.0,2.0,1963-03-02,international_results
Ghana,Mali,4.0,0.0,1.0,1963-03-03,international_results
Netherlands,Belgium,0.0,1.0,2.0,1963-03-03,international_results
Paraguay,Brazil,2.0,2.0,0.0,1963-03-03,international_results
Tunisia,Kuwait,2.0,1.0,1.0,1963-03-03,international_results
Jamaica,Curaçao,1.0,2.0,2.0,1963-03-04,international_results
Jamaica,Haiti,0.0,3.0,2.0,1963-03-06,international_results
Argentina,Colombia,4.0,2.0,1.0,1963-03-10,international_results
Bolivia,Ecuador,4.0,4.0,0.0,1963-03-10,international_results
Brazil,Peru,1.0,0.0,1.0,1963-03-10,international_results
Guatemala,Honduras,2.0,1.0,1.0,1963-03-10,international_results
Ivory Coast,Tunisia,3.0,0.0,1.0,1963-03-10,international_results
Argentina,Peru,1.0,2.0,2.0,1963-03-13,international_results
Brazil,Colombia,5.0,1.0,1.0,1963-03-14,international_results
Ecuador,Paraguay,1.0,3.0,2.0,1963-03-14,international_results
Bolivia,Colombia,2.0,1.0,1.0,1963-03-17,international_results
Brazil,Paraguay,0.0,2.0,2.0,1963-03-17,international_results
Ecuador,Peru,1.0,2.0,2.0,1963-03-17,international_results
Argentina,Ecuador,4.0,2.0,1.0,1963-03-20,international_results
Colombia,Paraguay,2.0,3.0,2.0,1963-03-20,international_results
Wales,Hungary,1.0,1.0,0.0,1963-03-20,international_results
Bolivia,Peru,3.0,2.0,1.0,1963-03-21,international_results
Guatemala,Panama,2.0,2.0,0.0,1963-03-23,international_results
